Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV49,OUT017,4268.584789
FDY24,OUT019,-1013.442336
NCO55,OUT017,1782.12049
FDR13,OUT017,2015.264434
FDS51,OUT017,1122.019965
FDP26,OUT045,1620.290416
NCB54,OUT027,3494.824566
FDF32,OUT017,3211.035818
FDN31,OUT018,2724.399056
DRM48,OUT017,681.6640519
FDN20,OUT049,2793.944686
DRL01,OUT046,3705.469332
FDV56,OUT049,1880.511181
DRH13,OUT027,3177.904698
FDA03,OUT017,2456.283197
FDF47,OUT027,4981.811722
FDX32,OUT046,2369.499552
FDX57,OUT049,1704.720636
NCA30,OUT045,2922.363078
FDO49,OUT013,910.019407
FDL04,OUT019,-226.7893936
DRM48,OUT035,758.9690342
FDR16,OUT013,3428.330569
NCC19,OUT018,2748.365781
NCE42,OUT045,3647.371721
FDY24,OUT017,1033.991405
FDH19,OUT049,2892.134118
FDJ46,OUT013,2793.421469
FDN45,OUT010,1613.025061
FDY08,OUT035,2402.570291
FDZ37,OUT035,1610.416242
NCT30,OUT045,714.6782441
DRY23,OUT018,453.9847846
NCZ30,OUT018,1662.670074
FDC44,OUT018,1520.395702
FDB45,OUT035,1840.922834
FDY04,OUT013,2673.65873
FDM27,OUT046,2572.087337
FDZ43,OUT017,3943.717094
FDT39,OUT019,565.727536
NCC06,OUT019,116.0451181
FDL15,OUT027,3901.625757
FDL57,OUT017,4191.891496
FDU08,OUT046,1605.670767
FDK40,OUT017,4267.635634
FDQ12,OUT010,1719.769284
FDS48,OUT017,2507.170942
FDP09,OUT045,3306.818813
FDW21,OUT049,1760.709112
FDY25,OUT035,3030.991273
DRE13,OUT017,1475.315654
FDV43,OUT019,-1182.416724
FDD22,OUT045,1737.723275
FDM46,OUT019,-440.3579751
NCO30,OUT010,1010.04664
FDM25,OUT046,2805.430308
NCN41,OUT049,2043.740772
FDU24,OUT045,1484.983732
FDZ50,OUT046,2955.028241
FDP45,OUT013,4048.769668
NCM54,OUT045,1941.041252
FDW10,OUT019,880.780535
FDP20,OUT017,2138.662869
FDK32,OUT046,2452.329139
FDN52,OUT049,1552.472373
FDM58,OUT045,1772.726445
FDZ46,OUT027,3232.146736
NCA18,OUT018,1582.62698
FDD35,OUT046,1964.47867
NCK31,OUT035,960.2601589
FDI40,OUT027,3100.541794
FDT50,OUT019,-298.341373
NCT06,OUT046,2597.814649
FDT31,OUT035,3137.208642
FDT45,OUT049,986.9704873
FDT13,OUT045,2925.355528
FDO50,OUT045,1416.549663
NCU18,OUT010,311.1439016
NCR54,OUT049,3157.257985
NCO18,OUT018,2538.032953
FDU09,OUT045,926.9836891
FDT13,OUT018,2710.189738
FDE09,OUT046,1817.942447
NCK53,OUT019,-286.5910962
FDG45,OUT049,3478.241367
DRH15,OUT035,883.8829754
FDO21,OUT019,1704.670682
FDD14,OUT027,4348.617964
FDC09,OUT046,1707.217426
FDH45,OUT027,2215.717852
FDV32,OUT046,1069.551957
FDG12,OUT035,2119.25626
FDS32,OUT013,2318.774572
NCL55,OUT018,3662.163938
DRE01,OUT035,3953.594133
DRE15,OUT049,1352.352518
NCL42,OUT045,3820.47694
FDP31,OUT013,1101.947793
FDN33,OUT018,1271.509835
FDZ59,OUT046,2658.766622
FDE45,OUT010,928.8246104
FDJ07,OUT013,1948.513017
FDQ45,OUT018,2709.203751
FDM33,OUT027,4911.227708
FDO15,OUT010,-613.4285786
FDM46,OUT013,1511.199723
FDR03,OUT045,3257.522146
FDY49,OUT018,2424.227958
FDQ60,OUT045,1888.853213
FDW10,OUT049,2893.528955
FDO51,OUT049,905.6716934
FDJ40,OUT018,1521.914878
FDS20,OUT018,2622.907602
FDU45,OUT013,1887.737953
FDV02,OUT035,2840.345254
FDN09,OUT046,3832.402574
NCM55,OUT027,4383.573369
FDN23,OUT018,2076.73474
FDY31,OUT010,415.8600942
FDW03,OUT010,-134.5369409
FDD14,OUT046,2881.938641
FDV23,OUT017,2095.089716
DRI03,OUT045,2735.055433
FDN13,OUT035,1728.659644
FDF45,OUT027,2494.502518
FDU46,OUT035,1624.189809
FDB57,OUT049,3665.442281
FDV12,OUT049,1749.234236
FDQ58,OUT013,2456.616897
NCA18,OUT017,1928.105744
FDH52,OUT049,1158.037047
FDM24,OUT018,2161.398525
NCP43,OUT027,4306.338204
NCO18,OUT019,889.7414685
FDM32,OUT017,1573.832811
NCL07,OUT017,720.0395144
FDK03,OUT013,4067.578763
FDP59,OUT017,1778.849746
FDQ24,OUT049,4054.701197
FDQ16,OUT018,1491.076944
FDU44,OUT013,2633.147049
FDH28,OUT010,-1229.247579
FDV28,OUT019,-1285.049101
FDM22,OUT045,891.5251141
FDR56,OUT046,3139.646484
FDV39,OUT049,3234.914475
FDU37,OUT019,-565.2397038
FDQ11,OUT010,2189.483125
FDX02,OUT045,3481.299809
NCS42,OUT018,1199.090484
FDY57,OUT027,3010.523207
FDB21,OUT049,3903.055609
FDE28,OUT017,3749.526976
FDQ55,OUT017,1964.603386
FDA48,OUT049,3609.028059
FDZ19,OUT045,2714.107176
NCC43,OUT045,3898.222706
NCV18,OUT046,1300.428657
NCA42,OUT018,2242.193184
FDY45,OUT046,4050.915453
NCC30,OUT045,2765.536446
FDM57,OUT013,1459.905149
FDL09,OUT010,752.1327425
FDB09,OUT027,3452.171125
FDT44,OUT035,2044.677036
NCT06,OUT027,4042.090347
FDX26,OUT049,3002.005231
FDK32,OUT013,2515.190785
DRA12,OUT046,2271.62881
FDO46,OUT010,1131.348936
FDE52,OUT013,1491.198441
NCH42,OUT045,3567.012708
FDV08,OUT035,874.5192738
FDB47,OUT018,3060.454996
FDC28,OUT010,-127.6395005
FDD22,OUT046,1822.359579
FDS07,OUT027,3293.662185
DRI13,OUT045,3371.165696
FDG32,OUT018,3220.371097
FDU14,OUT017,4043.761294
FDD28,OUT019,-922.6860512
NCP41,OUT017,1834.719721
FDS08,OUT049,2887.393099
FDX47,OUT045,2508.148273
FDC53,OUT019,-256.9815952
FDQ19,OUT035,4013.045268
FDL14,OUT045,2466.955471
FDM33,OUT019,1585.884159
FDA51,OUT045,1788.178027
FDZ27,OUT018,556.6388615
FDT04,OUT046,690.4749421
DRC13,OUT049,2135.63309
FDR16,OUT027,4879.518516
FDQ03,OUT027,5220.036086
FDE38,OUT035,2824.727203
DRH23,OUT027,2355.834875
FDT11,OUT019,1132.707095
FDD09,OUT035,3011.370043
FDR40,OUT045,1325.145231
FDX07,OUT017,3049.915134
FDR07,OUT035,1708.729404
FDA51,OUT017,1946.344386
FDT59,OUT019,1757.15821
FDF20,OUT017,3189.327974
FDR13,OUT045,1844.550643
FDY26,OUT049,3473.62219
FDW04,OUT017,2213.57949
FDK52,OUT017,3669.699034
FDN60,OUT049,2595.150053
FDM09,OUT019,846.7986593
FDP46,OUT049,1523.589565
FDB50,OUT019,-647.6508879
NCQ29,OUT049,4146.412308
FDP16,OUT027,5329.829566
FDX33,OUT018,2321.715731
FDP07,OUT010,1191.571856
FDN22,OUT046,3984.754086
FDF39,OUT049,4268.052481
FDS21,OUT017,1142.508207
NCM42,OUT013,1743.545599
FDK50,OUT019,714.4396901
DRF13,OUT027,3785.793962
FDH35,OUT018,2332.052674
FDP60,OUT018,1332.250819
DRJ49,OUT027,3528.861054
NCT42,OUT019,452.6044844
FDE38,OUT049,2775.668434
FDI04,OUT049,3287.48015
NCH54,OUT045,2431.115461
FDT56,OUT049,1105.151523
DRD15,OUT018,3383.203684
FDV58,OUT013,3100.359493
FDP21,OUT049,3122.809728
FDH05,OUT013,3744.989792
FDR10,OUT027,4034.433746
NCP06,OUT045,2303.654356
FDF33,OUT049,1829.143515
DRK37,OUT013,3007.13809
DRH49,OUT045,1296.18371
FDT58,OUT013,2692.746978
FDD41,OUT018,1447.45858
FDP40,OUT018,1555.023085
FDM51,OUT027,3141.864664
FDO45,OUT010,-457.1871738
FDW33,OUT010,-208.2765766
FDY24,OUT045,895.1355233
FDB10,OUT010,1839.952211
FDM40,OUT035,2390.008954
NCI06,OUT017,2938.02617
FDW12,OUT019,443.2128174
FDX48,OUT027,3965.540072
NCW05,OUT027,3127.498218
FDX27,OUT017,1654.418792
DRM37,OUT045,3062.789292
FDA38,OUT045,3774.767537
FDR36,OUT046,715.4623925
FDZ45,OUT046,3149.323037
FDG05,OUT017,2650.050861
FDK28,OUT013,4114.632106
FDV47,OUT045,1340.650683
FDN21,OUT045,2495.995656
FDP20,OUT027,3492.211977
FDI35,OUT045,2837.146038
DRY23,OUT013,782.5286638
FDA56,OUT017,2073.437713
FDB09,OUT013,2007.521625
NCO26,OUT027,3303.796139
FDQ49,OUT018,2262.850636
FDI52,OUT027,3403.661547
FDZ44,OUT027,3342.829653
FDZ09,OUT018,2328.444035
FDY03,OUT049,1955.721194
NCG42,OUT017,2143.719041
DRI13,OUT027,4892.804705
FDQ32,OUT013,2088.681599
FDW16,OUT035,1667.693783
FDU27,OUT046,805.3760518
FDR28,OUT010,734.7972717
FDQ49,OUT010,653.4556055
FDS37,OUT046,1877.109592
FDW26,OUT018,3244.363156
FDX12,OUT018,3580.89051
NCP06,OUT013,2409.171957
FDW45,OUT010,412.3792314
NCN30,OUT049,1612.367714
FDN24,OUT049,974.5558625
NCL41,OUT027,1998.880724
FDR02,OUT019,-121.9155198
FDD09,OUT010,975.9367952
FDS33,OUT010,-451.4950287
FDU22,OUT045,1859.993536
FDI53,OUT013,2645.088075
DRH01,OUT049,2865.379263
FDX32,OUT013,2346.91948
NCP30,OUT018,380.2668744
FDB60,OUT045,3062.737472
FDB14,OUT049,1641.631861
NCP02,OUT035,1091.626416
FDJ10,OUT017,2362.50222
FDG34,OUT046,1821.074532
NCB18,OUT017,1489.69743
FDM16,OUT049,1367.172469
FDW25,OUT018,1104.705989
FDB35,OUT010,-391.3359993
DRN11,OUT013,2281.482671
FDF41,OUT019,1988.191154
FDH16,OUT045,1382.510843
NCQ50,OUT018,3064.699014
DRH23,OUT018,631.5378798
DRJ37,OUT013,2438.68014
DRJ24,OUT027,4353.927125
FDY16,OUT035,3091.287118
FDQ27,OUT045,1693.577851
FDZ33,OUT045,2308.331102
FDF29,OUT045,2099.760996
FDA08,OUT049,2742.581723
FDG31,OUT046,1074.552542
FDE34,OUT019,1019.316564
NCR30,OUT027,2628.109342
FDV33,OUT035,4272.456525
DRZ24,OUT018,1640.838195
NCL54,OUT035,2873.110646
FDR12,OUT049,2897.676413
NCC54,OUT046,3781.758452
DRN59,OUT013,788.2761586
FDX50,OUT019,-130.9812987
FDV31,OUT027,4273.694068
NCA29,OUT027,4177.292347
FDW60,OUT049,2966.765613
FDX08,OUT017,2995.421676
DRD49,OUT013,3727.362775
FDD33,OUT046,3644.403364
FDW35,OUT013,763.9804798
FDJ36,OUT017,1775.576724
FDV51,OUT035,2800.255193
FDW36,OUT046,1718.630801
FDH35,OUT046,2627.195037
NCS30,OUT027,3511.492258
FDN49,OUT017,769.7437807
FDL08,OUT018,3613.803389
FDI09,OUT013,3845.405668
FDP19,OUT018,1772.863152
FDU21,OUT010,-1300.516912
NCP41,OUT045,1662.441395
FDY10,OUT013,1844.25598
FDP12,OUT018,398.6519274
NCN26,OUT049,1947.361695
FDK44,OUT013,2788.372019
FDC28,OUT049,1862.579476
FDJ41,OUT027,5611.522339
NCT29,OUT035,2101.296216
NCH42,OUT019,1691.618633
FDU60,OUT018,2421.916654
FDS02,OUT045,3033.277111
FDC51,OUT046,2029.850513
FDU03,OUT013,2962.885182
FDX39,OUT045,3342.663965
NCY05,OUT010,-1305.93958
NCL06,OUT027,5520.628779
FDD32,OUT035,1491.463034
NCN41,OUT045,1888.392007
NCX53,OUT049,2340.548024
FDU57,OUT019,518.8824382
FDQ23,OUT046,1691.273098
FDQ52,OUT045,3862.014361
FDC14,OUT045,678.2680224
FDY09,OUT035,2964.350329
FDQ28,OUT045,2481.185961
FDV25,OUT046,3504.571235
FDJ07,OUT035,2030.312694
DRB25,OUT049,1792.567425
FDK52,OUT019,1655.110846
FDY52,OUT027,2506.238655
FDB28,OUT046,3132.243418
FDT36,OUT035,759.3421915
FDV25,OUT017,3610.857939
NCN07,OUT027,3517.224509
FDC57,OUT017,3193.835033
FDQ03,OUT018,3501.951056
FDU23,OUT017,2758.113303
NCX41,OUT035,3492.801993
NCD06,OUT035,898.8725795
FDW08,OUT045,1646.744082
NCU29,OUT017,2389.383401
NCE06,OUT013,2564.460834
FDV52,OUT010,-4.619502467
FDB02,OUT017,2947.284293
NCR18,OUT045,655.8670776
FDK16,OUT049,1630.675391
NCQ29,OUT010,2124.965197
FDZ01,OUT019,-167.8498601
FDW27,OUT035,2674.289746
FDD17,OUT018,3493.57673
FDW39,OUT013,2889.712007
DRH59,OUT045,1122.477891
FDS52,OUT013,1690.052035
FDU40,OUT027,4551.387859
NCF54,OUT013,2764.645354
FDH46,OUT045,1656.537881
NCP14,OUT049,1735.832612
FDH50,OUT049,3079.962412
DRF15,OUT010,526.4012904
FDV27,OUT027,2917.645135
NCJ06,OUT049,2004.312378
FDN02,OUT018,2974.734903
FDQ51,OUT049,927.409829
FDQ07,OUT017,3646.557067
FDS45,OUT049,1850.346269
NCJ06,OUT045,1866.055973
FDD36,OUT035,2040.723639
FDY25,OUT045,2853.002634
FDU52,OUT046,2472.584809
DRK47,OUT017,3664.850635
NCL30,OUT017,2119.225588
FDN22,OUT035,4143.397165
NCF30,OUT027,3430.107194
FDK03,OUT035,4230.160125
FDT45,OUT017,1006.971114
NCC54,OUT027,5198.507302
FDP08,OUT018,2847.68497
FDU44,OUT046,2641.752342
DRG39,OUT035,1017.517368
FDU32,OUT049,2068.152147
FDY27,OUT049,2939.232265
NCP54,OUT013,1983.402927
NCZ41,OUT049,2095.079015
DRL49,OUT013,2307.619045
FDI05,OUT018,1003.635923
FDY56,OUT045,3567.569081
DRC13,OUT013,2070.262806
NCV29,OUT017,2923.570751
FDR24,OUT049,1584.032458
FDZ34,OUT018,2761.051644
FDP37,OUT035,2154.546312
FDX08,OUT027,4332.48958
FDS57,OUT045,2195.000685
NCG18,OUT049,1734.150914
FDK25,OUT018,2431.912384
FDH53,OUT049,1468.035926
DRI59,OUT018,3242.315044
FDA52,OUT046,2839.919351
FDT20,OUT010,-1245.564772
FDE36,OUT019,736.4706198
FDI24,OUT017,2863.812048
FDB28,OUT018,2879.017838
FDV11,OUT017,2939.15632
FDP01,OUT046,2494.490731
FDD34,OUT027,4035.619588
FDJ50,OUT027,2331.083
FDZ44,OUT013,1944.748686
DRO59,OUT035,1373.383705
DRB48,OUT045,649.0174424
FDR21,OUT018,2506.494409
NCE42,OUT010,1785.457407
FDO23,OUT046,1491.121934
NCE30,OUT018,3048.643819
FDQ22,OUT035,801.0923943
FDY01,OUT045,1817.812495
FDS08,OUT017,2919.823433
FDG28,OUT018,3667.32253
FDQ51,OUT018,586.4194305
FDB05,OUT017,4026.897675
FDO56,OUT049,2021.177058
FDE02,OUT018,1217.938339
FDN45,OUT017,3602.266734
FDS09,OUT013,894.8435375
NCA54,OUT018,2582.385777
FDP09,OUT010,1462.911619
FDC53,OUT045,1562.691628
NCM55,OUT017,3019.966847
FDL09,OUT018,2436.353149
FDA11,OUT019,-383.1820637
FDA50,OUT045,1469.709636
FDC23,OUT017,2939.807381
FDE22,OUT049,2640.859126
FDD23,OUT046,3012.799277
NCA29,OUT049,2827.738072
FDK38,OUT046,2353.034217
DRC13,OUT046,1987.206742
NCP43,OUT049,2923.122729
FDX28,OUT049,1700.280598
FDF08,OUT049,1599.231334
FDZ33,OUT046,2375.880796
FDD10,OUT049,2979.099778
FDO58,OUT017,2677.074183
FDI50,OUT017,3778.793279
FDO58,OUT045,2585.606993
FDX08,OUT013,2916.225752
NCK17,OUT010,-1233.022644
FDF39,OUT035,4332.870036
FDU45,OUT010,-58.83681492
NCJ18,OUT018,1562.617932
DRC27,OUT019,1971.338955
DRC25,OUT035,1524.791601
FDU59,OUT035,2701.997589
FDU28,OUT035,3193.333254
NCP30,OUT046,673.828775
FDB39,OUT018,650.2812744
FDE41,OUT013,1480.695159
DRH11,OUT010,-993.2461
FDA58,OUT045,3668.89949
FDU50,OUT046,1896.604059
FDM34,OUT013,2103.884847
FDM44,OUT027,3104.122679
FDR39,OUT045,2855.424017
FDM25,OUT045,2781.406059
FDQ49,OUT049,2636.481186
DRH25,OUT018,591.6241976
FDM09,OUT027,4204.445847
FDL44,OUT019,685.4471702
NCR42,OUT018,270.5449589
DRL59,OUT046,872.2240876
FDX43,OUT013,2709.863779
DRK47,OUT010,1656.284463
FDU48,OUT018,1832.2278
FDY12,OUT045,813.347407
NCN43,OUT018,1677.577331
NCM55,OUT018,2617.006324
FDQ21,OUT027,3424.74732
FDX13,OUT035,4116.321621
NCK30,OUT027,5420.889152
FDG20,OUT049,2912.703654
DRG27,OUT017,748.179168
FDY14,OUT018,3893.654116
FDP59,OUT035,1845.200086
FDU60,OUT017,2815.744059
NCC18,OUT019,760.1205658
DRJ39,OUT017,3525.877686
FDS07,OUT049,1916.529013
FDM08,OUT027,5012.753582
FDP51,OUT045,1915.164499
